age,gender,district,primary_crime,repeat_case_count,is_repeat_offender,risk_label
48,Male,Kalaburagi,Vehicle Theft,2,1,Medium
34,Male,Bengaluru Urban,POCSO,1,0,Medium
46,Male,Dharwad,Assault,2,1,Medium
55,Female,Dakshina Kannada,Smuggling,3,1,Medium
20,Male,Dharwad,Assault,1,0,Low
31,Male,Dharwad,Murder,3,1,High
38,Male,Shivamogga,Kidnapping,2,1,High
22,Male,Dakshina Kannada,Vehicle Theft,2,1,Medium
52,Male,Kalaburagi,POCSO,2,1,High
48,Male,Kalaburagi,Theft,1,0,Low
33,Male,Kalaburagi,Theft,1,0,Low
54,Male,Kalaburagi,Murder,1,0,Medium
23,Male,Kalaburagi,Burglary,2,1,Medium
30,Male,Kalaburagi,Burglary,2,1,Medium
33,Male,Mysuru,Financial Fraud,1,0,Low
18,Male,Ballari,Chain Snatching,1,0,Low
48,Male,Dakshina Kannada,Kidnapping,1,0,Medium
18,Male,Shivamogga,Kidnapping,1,0,Medium
38,Male,Ballari,Fraud,1,0,Low
45,Male,Shivamogga,Cyber Crime,2,1,Medium
53,Male,Ballari,Fraud,2,1,Medium
50,Male,Bengaluru Urban,Robbery,1,0,Medium
49,Male,Tumakuru,Assault,1,0,Low
52,Male,Hassan,Financial Fraud,1,0,Low
43,Male,Dharwad,Murder,1,0,Medium
53,Male,Ballari,Financial Fraud,2,1,Medium
52,Male,Hassan,Vehicle Theft,1,0,Low
29,Male,Hassan,Theft,2,1,Medium
29,Male,Belagavi,Smuggling,1,0,Low
42,Male,Hassan,Vehicle Theft,3,1,Medium
43,Male,Dakshina Kannada,Kidnapping,1,0,Medium
45,Male,Shivamogga,Vehicle Theft,1,0,Low
49,Male,Tumakuru,Theft,1,0,Low
40,Male,Ballari,POCSO,1,0,Medium
48,Male,Hassan,Cyber Crime,1,0,Low
20,Male,Belagavi,Assault,1,0,Low
32,Male,Kalaburagi,Burglary,1,0,Low
34,Male,Bengaluru Urban,Chain Snatching,1,0,Low
18,Male,Dakshina Kannada,Burglary,2,1,Medium
42,Male,Tumakuru,Fraud,1,0,Low
37,Male,Kalaburagi,Theft,1,0,Low
44,Male,Bengaluru Urban,Theft,1,0,Low
43,Male,Dakshina Kannada,Chain Snatching,1,0,Low
43,Male,Dharwad,Murder,2,1,High
26,Male,Dharwad,Vehicle Theft,1,0,Low
43,Male,Hassan,NDPS,1,0,Medium
39,Male,Belagavi,Domestic Violence,1,0,Low
41,Male,Belagavi,Assault,1,0,Low
34,Male,Kalaburagi,Assault,3,1,Medium
27,Male,Shivamogga,Smuggling,1,0,Low
25,Female,Tumakuru,Burglary,3,1,Medium
41,Male,Dakshina Kannada,Vehicle Theft,2,1,Medium
30,Male,Hassan,Theft,2,1,Medium
23,Male,Dharwad,Assault,3,1,Medium
43,Male,Tumakuru,Burglary,2,1,Medium
34,Male,Tumakuru,POCSO,2,1,High
33,Male,Kalaburagi,Vehicle Theft,2,1,Medium
54,Male,Dakshina Kannada,Robbery,1,0,Medium
41,Male,Hassan,Cyber Crime,1,0,Low
40,Male,Shivamogga,Vehicle Theft,1,0,Low
37,Male,Bengaluru Urban,Smuggling,2,1,Medium
37,Male,Dharwad,POCSO,1,0,Medium
49,Male,Bengaluru Urban,Murder,1,0,Medium
44,Male,Hassan,Cyber Crime,1,0,Low
52,Male,Ballari,Domestic Violence,2,1,Medium
26,Male,Ballari,Robbery,2,1,High
52,Male,Bengaluru Urban,POCSO,2,1,High
30,Male,Kalaburagi,Burglary,1,0,Low
43,Male,Tumakuru,Theft,2,1,Medium
40,Male,Ballari,Robbery,2,1,High
46,Male,Hassan,Robbery,1,0,Medium
34,Male,Dakshina Kannada,Theft,3,1,Medium
52,Male,Dharwad,Fraud,1,0,Low
35,Male,Hassan,Fraud,1,0,Low
45,Male,Ballari,Fraud,1,0,Low
53,Male,Hassan,Vehicle Theft,1,0,Low
37,Male,Kalaburagi,Financial Fraud,1,0,Low
45,Male,Dakshina Kannada,Murder,2,1,High
30,Male,Dharwad,Vehicle Theft,1,0,Low
52,Male,Bengaluru Urban,Domestic Violence,2,1,Medium
51,Male,Bengaluru Urban,Domestic Violence,1,0,Low
34,Male,Dakshina Kannada,Kidnapping,1,0,Medium
41,Male,Hassan,Cyber Crime,1,0,Low
50,Male,Kalaburagi,Financial Fraud,1,0,Low
32,Male,Dakshina Kannada,POCSO,1,0,Medium
38,Male,Mysuru,Burglary,3,1,Medium
30,Male,Belagavi,POCSO,1,0,Medium
38,Male,Dharwad,Robbery,1,0,Medium
43,Female,Ballari,Domestic Violence,1,0,Low
43,Male,Hassan,Financial Fraud,1,0,Low
19,Male,Dakshina Kannada,Burglary,1,0,Low
28,Male,Dakshina Kannada,Burglary,1,0,Low
46,Male,Bengaluru Urban,Fraud,1,0,Low
47,Male,Mysuru,Financial Fraud,1,0,Low
49,Male,Tumakuru,Cyber Crime,1,0,Low
51,Male,Kalaburagi,Chain Snatching,1,0,Low
47,Male,Kalaburagi,Chain Snatching,2,1,Medium
32,Male,Mysuru,Burglary,1,0,Low
25,Male,Ballari,Burglary,1,0,Low
46,Female,Shivamogga,Financial Fraud,1,0,Low
50,Male,Ballari,Theft,1,0,Low
36,Male,Hassan,Domestic Violence,1,0,Low
30,Male,Ballari,Financial Fraud,1,0,Low
49,Male,Ballari,Smuggling,1,0,Low
19,Male,Dakshina Kannada,Cyber Crime,1,0,Low
24,Female,Belagavi,Theft,2,1,Medium
19,Male,Bengaluru Urban,Chain Snatching,1,0,Low
25,Male,Tumakuru,Kidnapping,1,0,Medium
46,Female,Tumakuru,NDPS,1,0,Medium
47,Female,Tumakuru,Domestic Violence,2,1,Medium
31,Male,Ballari,Vehicle Theft,1,0,Low
37,Male,Kalaburagi,Vehicle Theft,1,0,Low
55,Male,Bengaluru Urban,NDPS,1,0,Medium
54,Male,Mysuru,Burglary,2,1,Medium
39,Female,Hassan,Assault,1,0,Low
