CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,420,1,1
1,IPC,406,2,2
2,IPC,323,1,1
2,IPC,324,2,2
3,IPC,457,1,1
3,IPC,380,2,2
4,IPC,420,1,1
4,IPC,467,2,2
5,IPC,457,1,1
5,IPC,380,2,2
6,IPC,420,1,1
6,IPC,467,2,2
7,POCSO,4,1,1
7,POCSO,6,2,2
8,IPC,379,1,1
8,IPC,411,2,2
9,IPC,457,1,1
9,IPC,380,2,2
10,IPC,379,1,1
10,IPC,380,2,2
11,IPC,392,1,1
11,IPC,393,2,2
12,IPC,302,1,1
12,IPC,307,2,2
13,IPC,379,1,1
13,IPC,356,2,2
14,POCSO,4,1,1
14,POCSO,6,2,2
15,CUSTOMS,135,1,1
15,IPC,120B,2,2
16,NDPS,20,1,1
16,NDPS,21,2,2
17,IPC,457,1,1
17,IPC,380,2,2
18,IPC,457,1,1
18,IPC,380,2,2
19,IPC,420,1,1
19,IPC,406,2,2
20,IPC,363,1,1
20,IPC,364,2,2
21,IPC,379,1,1
21,IPC,356,2,2
22,IPC,498A,1,1
22,DVACT,1,2,2
23,IPC,379,1,1
23,IPC,411,2,2
24,IPC,323,1,1
24,IPC,324,2,2
25,IPC,420,1,1
25,IPC,467,2,2
26,POCSO,4,1,1
26,POCSO,6,2,2
27,POCSO,4,1,1
27,POCSO,6,2,2
28,IPC,323,1,1
28,IPC,324,2,2
29,IPC,392,1,1
29,IPC,393,2,2
30,NDPS,20,1,1
30,NDPS,21,2,2
31,IPC,379,1,1
31,IPC,380,2,2
32,IPC,392,1,1
32,IPC,393,2,2
33,CUSTOMS,135,1,1
33,IPC,120B,2,2
34,IPC,457,1,1
34,IPC,380,2,2
35,IPC,323,1,1
35,IPC,324,2,2
36,IPC,323,1,1
36,IPC,324,2,2
37,IPC,498A,1,1
37,DVACT,1,2,2
38,ITACT,66C,1,1
38,ITACT,66D,2,2
39,POCSO,4,1,1
39,POCSO,6,2,2
40,IPC,302,1,1
40,IPC,307,2,2
41,IPC,392,1,1
41,IPC,393,2,2
42,IPC,302,1,1
42,IPC,307,2,2
43,IPC,420,1,1
43,IPC,406,2,2
44,ITACT,66C,1,1
44,ITACT,66D,2,2
45,IPC,302,1,1
45,IPC,307,2,2
46,IPC,302,1,1
46,IPC,307,2,2
47,IPC,302,1,1
47,IPC,307,2,2
48,ITACT,66C,1,1
48,ITACT,66D,2,2
49,IPC,379,1,1
49,IPC,380,2,2
50,IPC,379,1,1
50,IPC,380,2,2
51,ITACT,66C,1,1
51,ITACT,66D,2,2
52,ITACT,66C,1,1
52,ITACT,66D,2,2
53,IPC,379,1,1
53,IPC,411,2,2
54,IPC,302,1,1
54,IPC,307,2,2
55,IPC,302,1,1
55,IPC,307,2,2
56,IPC,379,1,1
56,IPC,356,2,2
57,POCSO,4,1,1
57,POCSO,6,2,2
58,IPC,363,1,1
58,IPC,364,2,2
59,IPC,323,1,1
59,IPC,324,2,2
60,IPC,379,1,1
60,IPC,411,2,2
61,IPC,420,1,1
61,IPC,467,2,2
62,NDPS,20,1,1
62,NDPS,21,2,2
63,IPC,392,1,1
63,IPC,393,2,2
64,CUSTOMS,135,1,1
64,IPC,120B,2,2
65,CUSTOMS,135,1,1
65,IPC,120B,2,2
66,POCSO,4,1,1
66,POCSO,6,2,2
67,IPC,363,1,1
67,IPC,364,2,2
68,IPC,323,1,1
68,IPC,324,2,2
69,IPC,392,1,1
69,IPC,393,2,2
70,IPC,379,1,1
70,IPC,380,2,2
71,IPC,498A,1,1
71,DVACT,1,2,2
72,IPC,379,1,1
72,IPC,356,2,2
73,POCSO,4,1,1
73,POCSO,6,2,2
74,IPC,379,1,1
74,IPC,380,2,2
75,IPC,420,1,1
75,IPC,467,2,2
76,IPC,302,1,1
76,IPC,307,2,2
77,IPC,392,1,1
77,IPC,393,2,2
78,POCSO,4,1,1
78,POCSO,6,2,2
79,IPC,457,1,1
79,IPC,380,2,2
80,IPC,302,1,1
80,IPC,307,2,2
81,IPC,420,1,1
81,IPC,467,2,2
82,IPC,379,1,1
82,IPC,380,2,2
83,NDPS,20,1,1
83,NDPS,21,2,2
84,CUSTOMS,135,1,1
84,IPC,120B,2,2
85,IPC,379,1,1
85,IPC,356,2,2
86,IPC,420,1,1
86,IPC,406,2,2
87,IPC,302,1,1
87,IPC,307,2,2
88,IPC,392,1,1
88,IPC,393,2,2
89,IPC,498A,1,1
89,DVACT,1,2,2
90,ITACT,66C,1,1
90,ITACT,66D,2,2
91,IPC,379,1,1
91,IPC,411,2,2
92,IPC,392,1,1
92,IPC,393,2,2
93,IPC,420,1,1
93,IPC,467,2,2
94,IPC,392,1,1
94,IPC,393,2,2
95,POCSO,4,1,1
95,POCSO,6,2,2
96,NDPS,20,1,1
96,NDPS,21,2,2
97,IPC,379,1,1
97,IPC,380,2,2
98,IPC,323,1,1
98,IPC,324,2,2
99,POCSO,4,1,1
99,POCSO,6,2,2
100,IPC,379,1,1
100,IPC,356,2,2
101,IPC,392,1,1
101,IPC,393,2,2
102,IPC,420,1,1
102,IPC,467,2,2
103,IPC,392,1,1
103,IPC,393,2,2
104,IPC,363,1,1
104,IPC,364,2,2
105,IPC,379,1,1
105,IPC,380,2,2
106,IPC,379,1,1
106,IPC,411,2,2
107,ITACT,66C,1,1
107,ITACT,66D,2,2
108,IPC,323,1,1
108,IPC,324,2,2
109,IPC,420,1,1
109,IPC,467,2,2
110,IPC,457,1,1
110,IPC,380,2,2
111,IPC,379,1,1
111,IPC,356,2,2
112,IPC,379,1,1
112,IPC,380,2,2
113,IPC,363,1,1
113,IPC,364,2,2
114,IPC,379,1,1
114,IPC,380,2,2
115,IPC,379,1,1
115,IPC,411,2,2
116,IPC,363,1,1
116,IPC,364,2,2
117,IPC,420,1,1
117,IPC,406,2,2
118,POCSO,4,1,1
118,POCSO,6,2,2
119,IPC,498A,1,1
119,DVACT,1,2,2
120,NDPS,20,1,1
120,NDPS,21,2,2
121,NDPS,20,1,1
121,NDPS,21,2,2
122,IPC,498A,1,1
122,DVACT,1,2,2
123,NDPS,20,1,1
123,NDPS,21,2,2
124,NDPS,20,1,1
124,NDPS,21,2,2
125,IPC,420,1,1
125,IPC,406,2,2
126,IPC,379,1,1
126,IPC,380,2,2
127,IPC,379,1,1
127,IPC,380,2,2
128,IPC,457,1,1
128,IPC,380,2,2
129,IPC,392,1,1
129,IPC,393,2,2
130,IPC,420,1,1
130,IPC,406,2,2
131,ITACT,66C,1,1
131,ITACT,66D,2,2
132,IPC,302,1,1
132,IPC,307,2,2
133,IPC,420,1,1
133,IPC,467,2,2
134,IPC,302,1,1
134,IPC,307,2,2
135,NDPS,20,1,1
135,NDPS,21,2,2
136,IPC,392,1,1
136,IPC,393,2,2
137,IPC,323,1,1
137,IPC,324,2,2
138,IPC,379,1,1
138,IPC,380,2,2
139,IPC,379,1,1
139,IPC,356,2,2
140,IPC,392,1,1
140,IPC,393,2,2
141,IPC,457,1,1
141,IPC,380,2,2
142,IPC,323,1,1
142,IPC,324,2,2
143,ITACT,66C,1,1
143,ITACT,66D,2,2
144,IPC,420,1,1
144,IPC,406,2,2
145,IPC,302,1,1
145,IPC,307,2,2
146,IPC,498A,1,1
146,DVACT,1,2,2
147,IPC,379,1,1
147,IPC,356,2,2
148,IPC,392,1,1
148,IPC,393,2,2
149,IPC,457,1,1
149,IPC,380,2,2
150,IPC,323,1,1
150,IPC,324,2,2
151,IPC,420,1,1
151,IPC,467,2,2
152,IPC,498A,1,1
152,DVACT,1,2,2
153,IPC,420,1,1
153,IPC,406,2,2
154,ITACT,66C,1,1
154,ITACT,66D,2,2
155,IPC,379,1,1
155,IPC,380,2,2
156,IPC,379,1,1
156,IPC,411,2,2
157,IPC,323,1,1
157,IPC,324,2,2
158,IPC,363,1,1
158,IPC,364,2,2
159,IPC,302,1,1
159,IPC,307,2,2
160,CUSTOMS,135,1,1
160,IPC,120B,2,2
161,IPC,363,1,1
161,IPC,364,2,2
162,IPC,420,1,1
162,IPC,467,2,2
163,IPC,420,1,1
163,IPC,406,2,2
164,IPC,379,1,1
164,IPC,356,2,2
165,IPC,323,1,1
165,IPC,324,2,2
166,IPC,498A,1,1
166,DVACT,1,2,2
167,POCSO,4,1,1
167,POCSO,6,2,2
168,IPC,379,1,1
168,IPC,411,2,2
169,IPC,302,1,1
169,IPC,307,2,2
170,IPC,420,1,1
170,IPC,406,2,2
171,IPC,420,1,1
171,IPC,467,2,2
172,IPC,498A,1,1
172,DVACT,1,2,2
173,CUSTOMS,135,1,1
173,IPC,120B,2,2
174,IPC,420,1,1
174,IPC,467,2,2
175,CUSTOMS,135,1,1
175,IPC,120B,2,2
176,IPC,379,1,1
176,IPC,356,2,2
177,IPC,363,1,1
177,IPC,364,2,2
178,NDPS,20,1,1
178,NDPS,21,2,2
179,IPC,392,1,1
179,IPC,393,2,2
180,IPC,379,1,1
180,IPC,356,2,2
181,IPC,420,1,1
181,IPC,406,2,2
182,IPC,302,1,1
182,IPC,307,2,2
183,IPC,457,1,1
183,IPC,380,2,2
184,IPC,379,1,1
184,IPC,411,2,2
185,IPC,379,1,1
185,IPC,380,2,2
186,IPC,379,1,1
186,IPC,356,2,2
187,IPC,392,1,1
187,IPC,393,2,2
188,NDPS,20,1,1
188,NDPS,21,2,2
189,IPC,379,1,1
189,IPC,380,2,2
190,IPC,420,1,1
190,IPC,406,2,2
191,CUSTOMS,135,1,1
191,IPC,120B,2,2
192,POCSO,4,1,1
192,POCSO,6,2,2
193,IPC,363,1,1
193,IPC,364,2,2
194,IPC,498A,1,1
194,DVACT,1,2,2
195,IPC,379,1,1
195,IPC,411,2,2
196,IPC,420,1,1
196,IPC,467,2,2
197,IPC,379,1,1
197,IPC,380,2,2
198,POCSO,4,1,1
198,POCSO,6,2,2
199,POCSO,4,1,1
199,POCSO,6,2,2
200,IPC,302,1,1
200,IPC,307,2,2
201,CUSTOMS,135,1,1
201,IPC,120B,2,2
202,IPC,302,1,1
202,IPC,307,2,2
203,POCSO,4,1,1
203,POCSO,6,2,2
204,IPC,379,1,1
204,IPC,380,2,2
205,IPC,363,1,1
205,IPC,364,2,2
206,POCSO,4,1,1
206,POCSO,6,2,2
207,NDPS,20,1,1
207,NDPS,21,2,2
208,ITACT,66C,1,1
208,ITACT,66D,2,2
209,POCSO,4,1,1
209,POCSO,6,2,2
210,IPC,379,1,1
210,IPC,411,2,2
211,IPC,379,1,1
211,IPC,411,2,2
212,IPC,498A,1,1
212,DVACT,1,2,2
213,NDPS,20,1,1
213,NDPS,21,2,2
214,IPC,363,1,1
214,IPC,364,2,2
215,IPC,457,1,1
215,IPC,380,2,2
216,IPC,379,1,1
216,IPC,380,2,2
217,IPC,379,1,1
217,IPC,380,2,2
218,ITACT,66C,1,1
218,ITACT,66D,2,2
219,IPC,420,1,1
219,IPC,406,2,2
220,NDPS,20,1,1
220,NDPS,21,2,2
221,IPC,379,1,1
221,IPC,411,2,2
222,CUSTOMS,135,1,1
222,IPC,120B,2,2
223,IPC,379,1,1
223,IPC,411,2,2
224,CUSTOMS,135,1,1
224,IPC,120B,2,2
225,ITACT,66C,1,1
225,ITACT,66D,2,2
226,CUSTOMS,135,1,1
226,IPC,120B,2,2
227,IPC,392,1,1
227,IPC,393,2,2
228,IPC,457,1,1
228,IPC,380,2,2
229,IPC,323,1,1
229,IPC,324,2,2
230,IPC,363,1,1
230,IPC,364,2,2
