ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2021-10-24,1,6,21,38,12,1,true,false
2,3,1,2026-04-27,1,3,12,21,5,5,true,true
3,4,1,2024-03-31,1,5,19,32,9,6,true,false
4,5,2,2018-08-22,1,7,25,49,,8,true,false
5,6,1,2023-02-18,1,8,27,51,,9,true,false
6,7,2,2019-05-16,1,1,4,7,2,12,true,false
7,8,1,2024-09-29,1,5,18,31,10,15,true,false
8,10,1,2025-07-12,1,1,4,6,,19,true,false
9,13,1,2024-12-12,1,10,33,64,19,24,true,false
10,15,1,2018-11-30,1,8,28,55,15,29,true,false
11,21,1,2025-11-09,1,7,25,46,,42,true,false
12,23,1,2020-10-21,1,5,18,29,10,46,true,false
13,24,2,2024-10-26,1,8,28,54,15,49,true,false
14,25,1,2024-03-19,1,7,24,44,13,50,true,false
15,27,1,2019-04-30,1,1,6,13,,55,true,false
16,28,2,2026-11-30,1,7,24,45,13,57,true,false
17,29,2,2020-03-25,1,10,33,64,19,58,true,false
18,30,1,2021-09-11,1,2,9,17,4,59,true,false
19,31,1,2020-01-14,1,7,24,42,13,61,true,false
20,35,1,2021-08-30,1,7,25,46,,68,true,false
21,39,1,2023-04-27,1,4,16,27,7,74,true,false
22,42,1,2020-07-22,1,7,25,46,13,80,true,false
23,44,1,2023-05-17,1,4,15,26,,85,true,false
24,45,1,2025-11-18,1,2,8,14,,87,true,false
25,46,1,2020-08-07,1,5,18,31,10,88,true,false
26,48,1,2018-12-24,1,10,33,62,,94,true,false
27,51,1,2023-07-10,1,4,15,26,8,99,true,false
28,52,1,2026-04-26,1,2,8,14,3,101,true,false
29,57,1,2021-04-27,1,6,21,39,11,109,true,false
30,58,1,2020-09-24,1,9,30,57,,112,true,false
31,60,1,2023-12-24,1,6,22,40,11,115,true,false
32,61,1,2019-10-02,1,4,15,26,,118,true,false
33,62,1,2019-10-26,1,5,19,34,10,119,true,false
34,64,1,2020-10-23,1,1,5,10,2,122,true,false
35,65,1,2024-03-06,1,1,4,6,2,124,true,false
36,66,1,2019-07-25,1,7,25,49,13,127,true,false
