CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID
1,100060021202100001,202100001,2021-09-27,38,21,1,2,4,11,5,12
2,300070025202500001,202500001,2025-12-25,49,25,3,2,1,6,2,13
3,200030012202600001,202600001,2026-03-31,21,12,2,2,2,2,1,5
4,100050019202400001,202400001,2024-03-20,32,19,1,2,4,12,1,9
5,100070025201800001,201800001,2018-08-09,49,25,1,2,2,2,4,
6,100080027202300001,202300001,2023-01-20,51,27,1,2,4,12,5,
7,100010004201900001,201900001,2019-04-18,7,4,1,1,3,10,3,2
8,100050018202400001,202400001,2024-09-15,31,18,1,2,2,4,2,10
9,100050018201800001,201800001,2018-09-30,31,18,1,2,2,2,4,10
10,100010004202500001,202500001,2025-06-29,6,4,1,2,2,1,6,
11,100060021202200001,202200001,2022-01-06,37,21,1,1,2,3,3,
12,100010002202400001,202400001,2024-09-05,2,2,1,1,1,7,6,1
13,100100033202400001,202400001,2024-11-22,64,33,1,2,2,5,1,19
14,100030012202100001,202100001,2021-04-03,21,12,1,1,3,10,5,
15,100080028201800001,201800001,2018-11-01,55,28,1,2,4,13,4,15
16,100010003202100001,202100001,2021-07-05,3,3,1,1,5,14,4,2
17,400100034202400001,202400001,2024-06-04,69,34,4,2,2,2,2,19
18,100020008201900001,201900001,2019-07-18,15,8,1,2,2,2,5,
19,100030013202600001,202600001,2026-07-10,23,13,1,2,4,11,1,
20,100070025202100001,202100001,2021-10-10,47,25,1,1,1,8,4,
21,100070025202500001,202500001,2025-10-19,46,25,1,2,2,5,2,
22,100090031202500001,202500001,2025-03-11,61,31,1,2,3,9,1,18
23,100050018202000001,202000001,2020-10-10,29,18,1,2,2,4,2,10
24,400080028202400001,202400001,2024-10-16,54,28,4,2,1,6,6,15
25,100070024202400001,202400001,2024-02-28,44,24,1,2,4,12,1,13
26,100080027202100001,202100001,2021-09-23,51,27,1,1,3,10,2,15
27,100010006201900001,201900001,2019-04-24,13,6,1,1,3,10,5,
28,100070024202600001,202600001,2026-11-19,45,24,1,2,1,6,2,13
29,100100033202000001,202000001,2020-03-15,64,33,1,1,2,3,4,19
30,100020009202100001,202100001,2021-08-29,17,9,1,1,5,14,5,4
31,100070024201900001,201900001,2019-12-27,42,24,1,2,2,1,2,13
32,400060021202300001,202300001,2023-04-20,39,21,4,1,2,3,3,11
33,100060022201900001,201900001,2019-12-04,41,22,1,2,4,13,5,11
34,100020010202200001,202200001,2022-11-03,18,10,1,2,2,2,3,4
35,300070025202100001,202100001,2021-08-30,46,25,3,2,1,6,5,
36,300100034202300001,202300001,2023-12-29,68,34,3,2,1,6,4,
37,100100034202200001,202200001,2022-04-08,69,34,1,2,3,9,5,20
38,100100034202100001,202100001,2021-12-30,69,34,1,2,6,15,2,19
39,100040016202300001,202300001,2023-04-14,27,16,1,1,3,10,3,7
40,300080027202200001,202200001,2022-11-23,51,27,3,1,1,7,4,
41,100060022201900002,201900002,2019-07-22,40,22,1,1,2,3,3,
42,100070025202000001,202000001,2020-07-14,46,25,1,1,1,7,2,13
43,100100034202000001,202000001,2020-01-09,69,34,1,2,4,11,5,19
44,100040015202300001,202300001,2023-04-17,26,15,1,2,6,15,4,
45,100020008202500001,202500001,2025-11-16,14,8,1,1,1,7,2,
46,100050018202000002,202000002,2020-07-09,31,18,1,1,1,7,2,10
47,100070025202100002,202100002,2021-03-28,46,25,1,1,1,7,5,14
48,100100033201800001,201800001,2018-11-26,62,33,1,2,6,15,2,
49,100100033202200001,202200001,2022-01-16,63,33,1,2,2,1,2,
50,100080027202200001,202200001,2022-04-27,53,27,1,2,2,1,4,16
51,200040015202300001,202300001,2023-07-06,26,15,2,2,6,15,3,8
52,100020008202600001,202600001,2026-04-26,14,8,1,2,6,15,6,3
53,100090030201900001,201900001,2019-12-26,57,30,1,2,2,4,3,
54,300090031202600001,202600001,2026-09-05,59,31,3,1,1,7,6,17
55,200070025202500001,202500001,2025-03-28,48,25,2,1,1,7,2,
56,100030013202000001,202000001,2020-11-23,22,13,1,2,2,5,3,
57,100060021202100002,202100002,2021-04-09,39,21,1,1,3,10,5,11
58,100090030202000001,202000001,2020-08-26,57,30,1,1,1,8,2,
59,100020009202500001,202500001,2025-01-02,17,9,1,2,1,6,2,3
60,100060022202300001,202300001,2023-11-24,40,22,1,2,2,4,5,11
61,100040015201900001,201900001,2019-09-29,26,15,1,2,4,12,4,
62,100050019201900001,201900001,2019-10-26,34,19,1,1,5,14,3,10
63,100030013202200001,202200001,2022-12-20,22,13,1,1,2,3,2,
64,100010005202000001,202000001,2020-10-05,10,5,1,2,4,13,5,2
65,100010004202400001,202400001,2024-02-20,6,4,1,2,4,13,6,2
66,100070025201900001,201900001,2019-07-14,49,25,1,1,3,10,4,13
67,100070024202300001,202300001,2023-03-22,45,24,1,1,1,8,4,13
68,100080028202600001,202600001,2026-01-21,55,28,1,2,1,6,2,15
69,100040016202200001,202200001,2022-01-03,28,16,1,1,2,3,3,8
70,100100033201800002,201800002,2018-07-31,62,33,1,2,2,1,5,20
71,400080027202500001,202500001,2025-01-16,50,27,4,2,3,9,1,15
72,100100034202500001,202500001,2025-08-27,67,34,1,2,2,5,1,19
73,400050018201800001,201800001,2018-03-25,30,18,4,1,3,10,4,
74,100030013202100001,202100001,2021-02-02,23,13,1,2,2,1,4,
75,100090030202300001,202300001,2023-06-05,57,30,1,2,4,12,4,
76,100020010202000001,202000001,2020-11-03,19,10,1,1,1,7,3,3
77,100100033202600001,202600001,2026-08-27,62,33,1,1,2,3,2,
78,400010005201900001,201900001,2019-02-26,10,5,4,1,3,10,2,1
