CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2022-01-23 02:37:26,C,38
2,2,2026-03-24 09:41:08,A,49
3,5,2018-11-15 07:36:30,A,49
4,6,2023-07-17 06:58:18,C,51
5,7,2019-10-06 04:36:50,A,7
6,8,2024-11-25 06:52:32,A,31
7,9,2018-12-09 19:30:00,A,31
8,11,2022-02-15 15:45:35,A,37
9,14,2021-07-31 15:35:28,C,21
10,15,2019-01-23 05:53:59,A,55
11,16,2021-09-20 07:37:05,A,3
12,17,2024-09-18 01:05:31,A,69
13,18,2019-08-18 05:38:49,C,15
14,20,2022-02-26 00:40:41,A,47
15,21,2025-12-22 09:39:47,A,46
16,23,2021-02-26 08:09:25,A,29
17,26,2022-02-18 17:28:07,A,51
18,27,2019-07-06 10:10:12,C,13
19,28,2027-05-14 12:32:03,A,45
20,29,2020-05-29 03:57:02,A,64
21,30,2021-09-29 07:47:44,C,17
22,31,2020-03-19 12:35:41,A,42
23,32,2023-07-15 02:42:44,A,39
24,33,2020-02-13 09:57:12,C,41
25,34,2023-03-16 21:15:37,A,18
26,35,2022-01-15 23:28:54,C,46
27,36,2024-04-26 13:17:40,A,68
28,37,2022-09-05 12:45:49,C,69
29,38,2022-01-29 14:02:06,A,69
30,39,2023-09-01 04:10:58,A,27
31,40,2023-01-02 06:29:46,A,51
32,41,2019-12-03 03:30:12,A,40
33,42,2020-11-30 05:02:11,A,46
34,43,2020-07-04 08:55:06,C,69
35,44,2023-05-18 07:03:38,A,26
36,45,2026-03-16 12:55:25,A,14
37,46,2020-11-02 11:11:57,A,31
38,47,2021-08-29 04:49:02,C,46
39,48,2019-05-11 01:03:37,A,62
40,49,2022-05-02 18:49:17,A,63
41,50,2022-08-04 06:34:45,A,53
42,51,2023-11-22 11:52:22,A,26
43,53,2020-02-06 21:40:01,A,57
44,55,2025-07-09 22:44:56,A,48
45,56,2021-02-24 05:02:29,A,22
46,57,2021-08-21 21:17:46,C,39
47,58,2020-10-03 08:45:56,A,57
48,59,2025-03-22 03:37:38,A,17
49,60,2024-05-07 16:02:15,C,40
50,61,2019-12-06 23:53:25,A,26
51,62,2020-01-02 09:35:13,A,34
52,63,2023-04-11 08:37:36,A,22
53,64,2021-01-22 23:29:20,C,10
54,66,2019-11-12 19:36:13,A,49
55,67,2023-07-22 17:20:44,A,45
56,68,2026-05-18 06:22:57,A,55
57,69,2022-05-16 13:41:11,A,28
58,70,2018-11-02 10:54:41,C,62
59,73,2018-07-05 04:05:33,A,30
60,74,2021-06-01 00:55:18,A,23
61,75,2023-08-12 16:29:52,A,57
62,76,2021-01-28 18:35:45,A,19
63,77,2027-02-17 16:45:01,A,62
64,78,2019-05-08 09:12:02,A,10
65,79,2018-04-17 00:27:26,A,41
66,80,2022-05-19 14:07:03,A,12
67,82,2025-11-19 12:41:18,A,30
68,85,2019-08-28 14:38:26,C,39
69,86,2022-04-07 00:10:37,C,52
70,89,2019-11-10 09:21:33,A,50
71,90,2019-10-22 02:47:45,A,67
72,91,2024-01-14 06:37:29,A,51
73,92,2022-03-19 04:03:05,A,54
74,93,2021-07-08 08:47:40,A,14
75,94,2023-09-03 13:40:02,A,55
76,95,2021-08-09 21:49:44,A,5
77,100,2018-11-12 00:44:30,A,15
78,101,2018-11-11 18:51:05,A,54
79,104,2021-02-26 14:19:05,C,27
80,105,2019-05-05 10:14:19,A,55
81,106,2023-08-25 19:08:24,A,29
82,107,2027-02-03 05:06:58,A,51
83,108,2020-02-17 04:42:10,A,24
84,109,2019-08-22 09:13:31,A,18
85,111,2026-12-29 12:33:19,A,51
86,113,2021-03-07 16:20:20,A,57
87,114,2023-03-07 12:38:03,A,40
88,115,2019-10-07 19:29:48,A,16
89,116,2019-06-12 16:16:17,A,40
90,117,2021-11-22 19:18:38,A,68
91,118,2021-05-18 05:39:26,A,41
92,119,2019-09-07 06:19:05,A,15
93,121,2022-06-30 21:50:33,A,21
94,122,2022-05-30 02:58:39,A,37
95,123,2023-12-17 12:44:02,A,55
96,124,2019-04-30 22:00:47,C,41
97,125,2025-07-22 23:44:56,A,55
98,126,2025-08-06 10:27:28,A,23
99,127,2023-11-02 20:43:25,A,34
100,128,2022-02-17 02:37:17,A,56
101,129,2018-06-22 07:05:54,A,51
102,130,2019-07-02 16:48:27,A,30
103,131,2019-12-30 05:17:38,A,58
104,132,2022-03-23 13:02:23,A,57
105,133,2022-11-14 22:38:24,A,22
106,134,2022-04-21 15:59:45,C,34
107,136,2019-06-21 00:49:22,A,65
108,137,2018-11-05 03:48:36,A,34
109,138,2023-09-15 06:22:28,A,39
110,139,2021-06-11 07:03:41,A,26
111,142,2023-10-02 23:36:38,A,21
112,144,2019-03-19 03:48:29,A,52
113,145,2018-08-08 08:07:55,A,53
114,146,2022-03-08 11:34:40,A,36
115,147,2023-09-01 20:06:34,A,47
116,148,2020-04-03 22:04:38,A,7
117,150,2023-04-04 17:19:37,A,22
118,151,2018-10-10 23:49:00,A,21
119,152,2023-06-12 11:31:32,C,55
120,153,2022-12-12 05:56:57,A,47
121,155,2021-06-17 12:49:19,C,56
122,156,2022-09-24 01:58:59,A,28
123,157,2025-06-13 21:40:13,A,18
124,158,2027-02-06 02:42:01,A,45
125,161,2022-12-14 20:34:23,C,5
126,162,2020-05-16 21:01:39,A,66
127,165,2022-08-20 17:07:34,A,26
128,166,2022-01-13 17:25:46,C,48
129,167,2019-07-02 00:42:42,A,25
130,168,2020-12-22 03:08:06,C,48
131,169,2022-01-13 17:50:01,A,42
132,171,2023-09-03 04:33:45,A,47
133,172,2018-08-07 02:49:31,A,31
134,173,2021-05-24 19:52:23,A,21
135,174,2024-12-01 11:54:35,A,51
136,175,2019-09-27 11:03:23,A,21
137,176,2023-11-13 21:24:04,C,55
138,178,2023-03-27 17:13:43,A,33
139,179,2022-04-29 16:09:14,C,24
140,180,2021-09-12 03:06:15,A,21
141,181,2022-03-22 07:03:47,A,18
142,182,2022-07-28 11:24:03,C,59
143,183,2021-01-18 20:00:33,A,40
144,184,2018-05-18 00:41:38,A,67
145,187,2020-06-25 01:23:04,A,28
146,188,2022-04-24 09:54:59,C,56
147,189,2020-12-23 10:41:02,A,46
148,190,2019-05-03 16:10:58,A,52
149,191,2023-04-25 13:58:54,A,25
150,193,2019-10-08 21:48:23,A,34
151,194,2022-10-10 22:39:00,A,50
152,195,2022-02-04 14:01:49,A,39
153,196,2019-05-01 16:44:38,A,34
154,197,2025-01-19 08:52:51,A,69
155,198,2023-05-13 05:21:02,A,69
156,199,2021-04-09 23:39:48,A,20
157,200,2022-07-15 09:59:59,A,39
158,201,2026-09-24 07:57:01,A,43
159,202,2023-09-14 11:00:43,A,37
160,204,2024-10-28 20:16:50,A,28
161,205,2025-06-22 09:24:48,A,37
162,206,2018-03-11 10:09:07,A,33
163,207,2022-05-28 16:30:27,A,18
164,208,2021-07-13 01:03:59,A,21
165,210,2023-03-23 01:24:02,A,65
166,211,2023-08-07 20:44:42,A,48
167,212,2025-07-07 08:08:10,A,41
168,213,2020-12-14 16:05:58,A,50
169,217,2023-03-05 14:28:19,A,40
170,218,2026-04-18 00:33:38,A,31
171,219,2026-05-24 05:49:21,A,16
172,220,2023-10-28 06:04:07,A,60
173,221,2021-06-01 02:44:11,A,1
174,223,2021-02-18 14:40:12,C,60
175,224,2021-07-11 06:39:28,A,1
176,226,2023-01-03 03:01:14,A,64
177,227,2024-05-16 09:14:12,A,59
178,228,2019-08-10 17:29:09,A,2
179,229,2019-11-14 18:25:39,A,24
180,230,2023-10-02 10:22:59,C,41
181,231,2020-12-09 19:21:21,A,69
182,232,2021-05-08 20:28:11,A,57
183,233,2024-05-10 20:31:14,C,4
184,234,2024-12-09 19:57:53,A,59
185,235,2024-02-11 06:14:28,A,55
186,236,2023-02-23 18:13:26,C,53
187,237,2023-04-11 02:26:51,A,25
188,238,2024-01-05 22:41:08,A,62
189,239,2025-08-25 00:40:15,A,37
190,241,2018-10-07 14:13:15,A,13
191,244,2021-05-25 14:54:56,A,40
192,245,2021-05-08 19:16:43,C,54
193,247,2018-12-12 19:41:06,C,40
194,248,2021-05-20 08:40:45,A,61
195,249,2018-10-05 01:57:48,A,42
196,251,2022-11-06 15:49:58,A,20
197,252,2021-02-27 11:44:57,A,36
198,253,2024-09-11 12:51:18,A,22
199,254,2018-06-04 00:05:26,C,38
200,255,2018-04-29 03:09:11,A,24
201,256,2023-06-17 12:36:55,A,35
202,257,2022-04-26 23:33:23,A,24
203,259,2023-06-12 15:50:17,A,34
204,260,2026-06-20 10:15:05,A,56
205,262,2023-11-14 20:23:40,A,37
206,263,2020-03-27 02:23:56,C,62
207,264,2024-01-06 16:38:01,A,19
208,266,2024-04-22 12:50:41,A,22
209,267,2021-09-11 19:34:00,A,4
210,268,2022-05-17 06:08:01,A,57
211,269,2027-01-05 13:55:58,A,8
212,270,2025-07-14 23:39:05,A,38
213,271,2019-06-19 02:26:37,A,41
214,272,2024-03-09 06:22:33,C,27
215,273,2023-05-10 07:17:46,A,14
216,274,2021-11-15 19:48:16,A,7
217,275,2020-07-13 00:05:30,A,18
218,276,2020-04-10 06:09:13,C,26
219,279,2021-11-03 00:08:52,A,49
220,280,2021-08-09 05:17:52,A,17
221,282,2020-03-28 17:15:11,C,67
222,283,2026-06-07 10:21:53,A,18
223,285,2020-08-01 15:13:58,A,13
224,286,2026-03-06 02:27:09,A,43
225,288,2021-12-20 18:21:52,A,52
226,289,2024-05-25 05:22:39,A,63
227,290,2021-11-14 14:15:19,A,15
228,291,2023-12-17 15:19:19,A,18
229,292,2023-07-07 00:45:21,A,46
230,293,2023-01-08 08:50:22,A,23
231,296,2018-06-26 16:41:32,A,17
232,297,2018-04-08 18:24:07,A,37
233,298,2019-06-03 20:15:48,A,60
234,300,2019-11-24 03:42:52,A,23
235,301,2020-05-05 02:10:50,C,61
236,302,2023-02-25 14:59:09,C,27
237,303,2020-03-06 11:04:24,C,28
238,304,2023-11-09 23:27:09,C,24
239,305,2020-08-11 04:34:53,A,45
240,306,2021-08-06 09:16:03,A,52
241,307,2022-01-19 10:13:34,C,42
242,308,2024-07-23 05:55:10,A,56
243,311,2018-12-29 03:20:09,A,31
244,312,2020-06-05 18:44:32,A,20
245,313,2022-01-27 09:22:08,A,67
246,314,2023-03-30 11:22:58,C,7
247,315,2018-11-01 12:14:44,A,20
248,316,2022-09-15 02:23:44,C,31
249,317,2025-01-29 08:13:33,A,31
250,318,2023-10-05 21:15:13,C,23
251,319,2019-07-03 00:32:15,A,37
252,320,2022-03-28 10:25:20,A,20
253,321,2026-12-18 19:14:07,A,18
254,322,2019-06-23 20:16:17,C,59
255,323,2024-12-02 23:59:47,A,2
256,324,2019-08-03 18:41:30,A,54
257,325,2027-01-21 07:44:50,A,48
258,326,2019-08-12 06:00:06,A,1
259,327,2019-12-10 20:42:21,A,5
260,328,2019-05-07 20:57:30,C,69
261,329,2021-07-17 11:03:46,A,58
262,330,2019-11-13 01:21:04,A,40
263,331,2023-01-20 12:20:49,A,26
264,332,2021-08-11 16:30:23,A,27
265,333,2024-06-15 15:10:56,A,14
266,334,2022-02-14 13:04:31,A,20
267,335,2018-07-22 02:02:39,A,41
268,336,2022-03-03 17:38:36,A,12
269,337,2022-03-20 12:31:36,C,24
270,338,2020-01-16 11:40:11,A,37
271,339,2018-08-19 09:16:03,A,35
272,340,2025-06-03 02:46:06,A,52
273,341,2026-02-11 10:34:04,A,35
274,343,2023-03-20 13:54:25,C,8
275,344,2021-03-25 06:59:59,C,25
276,345,2024-11-18 22:11:35,A,20
277,346,2022-04-10 13:27:40,A,44
278,349,2020-06-25 04:24:21,A,33
279,352,2020-05-20 12:06:56,C,44
280,353,2020-09-06 05:21:48,A,17
281,354,2019-06-29 05:31:52,A,6
282,356,2023-02-24 14:05:06,A,9
283,357,2022-01-18 00:25:25,C,23
284,358,2018-07-05 10:20:02,C,41
285,359,2021-08-27 08:22:55,A,2
286,360,2023-11-28 15:26:34,A,2
287,361,2020-06-13 15:10:11,A,67
288,362,2023-11-18 21:00:50,A,27
289,363,2025-07-20 11:46:33,A,24
290,365,2021-10-08 13:56:59,A,27
291,367,2023-04-26 17:42:58,C,56
292,368,2018-08-23 11:13:43,A,22
293,370,2024-04-04 22:35:52,C,4
294,371,2022-06-14 17:00:11,A,7
295,372,2023-08-05 09:15:05,A,67
296,374,2023-07-05 05:14:22,A,40
297,375,2018-06-07 07:20:59,C,30
298,376,2023-04-01 00:59:57,A,21
299,377,2023-05-08 12:11:17,A,31
300,378,2021-12-28 17:55:58,A,54
301,382,2019-03-05 03:59:22,A,12
302,383,2026-04-17 15:18:06,A,59
303,384,2023-02-04 16:49:23,C,21
304,386,2020-01-18 05:29:50,C,20
305,387,2023-07-13 04:06:12,A,38
306,388,2023-01-23 09:15:14,A,53
307,389,2023-04-26 16:19:19,C,69
308,391,2020-09-29 19:43:11,A,44
309,392,2021-02-13 13:48:09,A,42
310,393,2020-06-09 04:41:53,A,34
311,394,2023-09-25 07:12:46,A,26
312,395,2019-12-23 13:27:46,A,60
313,396,2019-11-20 15:32:23,C,56
314,397,2021-08-01 19:12:36,C,51
315,399,2023-12-07 00:49:56,A,1
316,400,2022-05-26 13:35:26,A,19
317,401,2018-07-05 21:02:39,A,12
318,402,2018-07-31 01:29:50,A,51
319,403,2018-06-25 01:33:36,A,30
