rel_id,from_id,from_type,to_id,to_type,rel_type,strength,CaseMasterID
R1,2,Accused,3,Accused,CO-ACCUSED,0.96,2
R2,2,Accused,4,Accused,CO-ACCUSED,0.62,2
R3,3,Accused,4,Accused,CO-ACCUSED,0.85,2
R4,6,Accused,7,Accused,CO-ACCUSED,0.7,4
R5,9,Accused,10,Accused,CO-ACCUSED,0.8,6
R6,9,Accused,11,Accused,CO-ACCUSED,0.72,6
R7,10,Accused,11,Accused,CO-ACCUSED,0.79,6
R8,12,Accused,13,Accused,CO-ACCUSED,0.91,7
R9,12,Accused,14,Accused,CO-ACCUSED,0.94,7
R10,13,Accused,14,Accused,CO-ACCUSED,0.62,7
R11,15,Accused,16,Accused,CO-ACCUSED,0.65,8
R12,15,Accused,17,Accused,CO-ACCUSED,0.62,8
R13,16,Accused,17,Accused,CO-ACCUSED,0.73,8
R14,20,Accused,21,Accused,CO-ACCUSED,1,11
R15,20,Accused,22,Accused,CO-ACCUSED,0.77,11
R16,21,Accused,22,Accused,CO-ACCUSED,0.99,11
R17,24,Accused,25,Accused,CO-ACCUSED,0.86,13
R18,24,Accused,26,Accused,CO-ACCUSED,0.74,13
R19,25,Accused,26,Accused,CO-ACCUSED,0.75,13
R20,27,Accused,28,Accused,CO-ACCUSED,0.72,14
R21,29,Accused,30,Accused,CO-ACCUSED,0.76,15
R22,31,Accused,32,Accused,CO-ACCUSED,0.9,16
R23,33,Accused,34,Accused,CO-ACCUSED,0.64,17
R24,33,Accused,35,Accused,CO-ACCUSED,0.82,17
R25,34,Accused,35,Accused,CO-ACCUSED,0.98,17
R26,36,Accused,37,Accused,CO-ACCUSED,0.9,18
R27,36,Accused,38,Accused,CO-ACCUSED,0.9,18
R28,37,Accused,38,Accused,CO-ACCUSED,0.73,18
R29,39,Accused,40,Accused,CO-ACCUSED,0.84,19
R30,42,Accused,43,Accused,CO-ACCUSED,0.75,21
R31,44,Accused,45,Accused,CO-ACCUSED,0.86,22
R32,46,Accused,47,Accused,CO-ACCUSED,0.61,23
R33,46,Accused,48,Accused,CO-ACCUSED,0.76,23
R34,47,Accused,48,Accused,CO-ACCUSED,0.8,23
R35,50,Accused,51,Accused,CO-ACCUSED,0.98,25
R36,50,Accused,52,Accused,CO-ACCUSED,0.66,25
R37,51,Accused,52,Accused,CO-ACCUSED,0.64,25
R38,53,Accused,54,Accused,CO-ACCUSED,0.65,26
R39,55,Accused,56,Accused,CO-ACCUSED,0.9,27
R40,59,Accused,60,Accused,CO-ACCUSED,0.91,30
R41,61,Accused,62,Accused,CO-ACCUSED,0.68,31
R42,63,Accused,64,Accused,CO-ACCUSED,0.77,32
R43,63,Accused,65,Accused,CO-ACCUSED,0.64,32
R44,64,Accused,65,Accused,CO-ACCUSED,0.85,32
R45,68,Accused,69,Accused,CO-ACCUSED,0.88,35
R46,72,Accused,73,Accused,CO-ACCUSED,0.83,38
R47,74,Accused,75,Accused,CO-ACCUSED,0.96,39
R48,74,Accused,76,Accused,CO-ACCUSED,0.84,39
R49,75,Accused,76,Accused,CO-ACCUSED,0.61,39
R50,78,Accused,79,Accused,CO-ACCUSED,0.75,41
R51,80,Accused,81,Accused,CO-ACCUSED,0.8,42
R52,82,Accused,83,Accused,CO-ACCUSED,0.88,43
R53,82,Accused,84,Accused,CO-ACCUSED,0.65,43
R54,83,Accused,84,Accused,CO-ACCUSED,0.7,43
R55,85,Accused,86,Accused,CO-ACCUSED,0.91,44
R56,88,Accused,89,Accused,CO-ACCUSED,0.75,46
R57,88,Accused,90,Accused,CO-ACCUSED,0.92,46
R58,89,Accused,90,Accused,CO-ACCUSED,0.99,46
R59,91,Accused,92,Accused,CO-ACCUSED,0.77,47
R60,91,Accused,93,Accused,CO-ACCUSED,0.62,47
R61,92,Accused,93,Accused,CO-ACCUSED,0.86,47
R62,94,Accused,95,Accused,CO-ACCUSED,0.85,48
R63,97,Accused,98,Accused,CO-ACCUSED,0.88,50
R64,99,Accused,100,Accused,CO-ACCUSED,0.91,51
R65,104,Accused,105,Accused,CO-ACCUSED,0.61,55
R66,104,Accused,106,Accused,CO-ACCUSED,0.67,55
R67,105,Accused,106,Accused,CO-ACCUSED,0.67,55
R68,107,Accused,108,Accused,CO-ACCUSED,0.83,56
R69,109,Accused,110,Accused,CO-ACCUSED,0.78,57
R70,109,Accused,111,Accused,CO-ACCUSED,0.91,57
R71,110,Accused,111,Accused,CO-ACCUSED,0.99,57
R72,112,Accused,113,Accused,CO-ACCUSED,0.71,58
R73,115,Accused,116,Accused,CO-ACCUSED,0.85,60
R74,115,Accused,117,Accused,CO-ACCUSED,0.98,60
R75,116,Accused,117,Accused,CO-ACCUSED,0.63,60
R76,120,Accused,121,Accused,CO-ACCUSED,0.82,63
R77,122,Accused,123,Accused,CO-ACCUSED,0.6,64
R78,124,Accused,125,Accused,CO-ACCUSED,0.98,65
R79,124,Accused,126,Accused,CO-ACCUSED,0.87,65
R80,125,Accused,126,Accused,CO-ACCUSED,0.86,65
R81,128,Accused,129,Accused,CO-ACCUSED,0.98,67
R82,128,Accused,130,Accused,CO-ACCUSED,0.7,67
R83,129,Accused,130,Accused,CO-ACCUSED,0.86,67
R84,131,Accused,132,Accused,CO-ACCUSED,0.8,68
R85,131,Accused,133,Accused,CO-ACCUSED,0.96,68
R86,132,Accused,133,Accused,CO-ACCUSED,0.91,68
R87,134,Accused,135,Accused,CO-ACCUSED,0.8,69
R88,134,Accused,136,Accused,CO-ACCUSED,0.78,69
R89,135,Accused,136,Accused,CO-ACCUSED,0.67,69
R90,137,Accused,138,Accused,CO-ACCUSED,0.94,70
R91,139,Accused,140,Accused,CO-ACCUSED,0.97,71
R92,142,Accused,143,Accused,CO-ACCUSED,0.69,73
R93,146,Accused,147,Accused,CO-ACCUSED,0.94,76
R94,149,Accused,150,Accused,CO-ACCUSED,0.64,78
R95,151,Accused,152,Accused,CO-ACCUSED,0.71,79
R96,151,Accused,153,Accused,CO-ACCUSED,0.84,79
R97,152,Accused,153,Accused,CO-ACCUSED,0.7,79
R98,154,Accused,155,Accused,CO-ACCUSED,0.91,80
R99,157,Accused,158,Accused,CO-ACCUSED,0.86,82
R100,157,Accused,159,Accused,CO-ACCUSED,0.77,82
R101,158,Accused,159,Accused,CO-ACCUSED,0.64,82
R102,161,Accused,162,Accused,CO-ACCUSED,0.8,84
R103,164,Accused,165,Accused,CO-ACCUSED,0.8,86
R104,164,Accused,166,Accused,CO-ACCUSED,0.81,86
R105,165,Accused,166,Accused,CO-ACCUSED,0.81,86
R106,168,Accused,169,Accused,CO-ACCUSED,0.77,88
R107,170,Accused,171,Accused,CO-ACCUSED,0.94,89
R108,170,Accused,172,Accused,CO-ACCUSED,0.97,89
R109,171,Accused,172,Accused,CO-ACCUSED,0.63,89
R110,173,Accused,174,Accused,CO-ACCUSED,0.74,90
R111,175,Accused,176,Accused,CO-ACCUSED,0.75,91
R112,175,Accused,177,Accused,CO-ACCUSED,0.77,91
R113,176,Accused,177,Accused,CO-ACCUSED,0.73,91
R114,178,Accused,179,Accused,CO-ACCUSED,0.97,92
R115,178,Accused,180,Accused,CO-ACCUSED,0.77,92
R116,179,Accused,180,Accused,CO-ACCUSED,0.79,92
R117,181,Accused,182,Accused,CO-ACCUSED,0.94,93
R118,181,Accused,183,Accused,CO-ACCUSED,0.9,93
R119,182,Accused,183,Accused,CO-ACCUSED,0.96,93
R120,184,Accused,185,Accused,CO-ACCUSED,0.74,94
R121,186,Accused,187,Accused,CO-ACCUSED,0.85,95
R122,188,Accused,189,Accused,CO-ACCUSED,0.85,96
R123,190,Accused,191,Accused,CO-ACCUSED,0.95,97
R124,194,Accused,195,Accused,CO-ACCUSED,0.74,100
R125,194,Accused,196,Accused,CO-ACCUSED,0.78,100
R126,195,Accused,196,Accused,CO-ACCUSED,0.75,100
R127,198,Accused,199,Accused,CO-ACCUSED,0.99,102
R128,200,Accused,201,Accused,CO-ACCUSED,0.86,103
R129,200,Accused,202,Accused,CO-ACCUSED,0.67,103
R130,201,Accused,202,Accused,CO-ACCUSED,0.62,103
R131,203,Accused,204,Accused,CO-ACCUSED,0.71,104
R132,205,Accused,206,Accused,CO-ACCUSED,0.98,105
R133,209,Accused,210,Accused,CO-ACCUSED,0.88,108
R134,209,Accused,211,Accused,CO-ACCUSED,0.87,108
R135,210,Accused,211,Accused,CO-ACCUSED,0.66,108
R136,213,Accused,214,Accused,CO-ACCUSED,0.75,110
R137,213,Accused,215,Accused,CO-ACCUSED,0.64,110
R138,214,Accused,215,Accused,CO-ACCUSED,0.67,110
R139,216,Accused,217,Accused,CO-ACCUSED,0.92,111
R140,216,Accused,218,Accused,CO-ACCUSED,0.78,111
R141,217,Accused,218,Accused,CO-ACCUSED,0.96,111
R142,219,Accused,220,Accused,CO-ACCUSED,0.85,112
R143,219,Accused,221,Accused,CO-ACCUSED,0.87,112
R144,220,Accused,221,Accused,CO-ACCUSED,0.63,112
R145,222,Accused,223,Accused,CO-ACCUSED,0.94,113
R146,222,Accused,224,Accused,CO-ACCUSED,0.84,113
R147,223,Accused,224,Accused,CO-ACCUSED,0.75,113
R148,225,Accused,226,Accused,CO-ACCUSED,0.62,114
R149,228,Accused,229,Accused,CO-ACCUSED,0.82,116
R150,230,Accused,231,Accused,CO-ACCUSED,0.8,117
R151,230,Accused,232,Accused,CO-ACCUSED,1,117
R152,231,Accused,232,Accused,CO-ACCUSED,0.72,117
R153,233,Accused,234,Accused,CO-ACCUSED,0.62,118
R154,236,Accused,237,Accused,CO-ACCUSED,0.88,120
R155,236,Accused,238,Accused,CO-ACCUSED,0.97,120
R156,237,Accused,238,Accused,CO-ACCUSED,0.72,120
R157,239,Accused,240,Accused,CO-ACCUSED,0.67,121
R158,239,Accused,241,Accused,CO-ACCUSED,0.63,121
R159,240,Accused,241,Accused,CO-ACCUSED,0.81,121
R160,242,Accused,243,Accused,CO-ACCUSED,0.93,122
R161,242,Accused,244,Accused,CO-ACCUSED,0.83,122
R162,243,Accused,244,Accused,CO-ACCUSED,0.7,122
R163,245,Accused,246,Accused,CO-ACCUSED,0.98,123
R164,248,Accused,249,Accused,CO-ACCUSED,0.96,125
R165,250,Accused,251,Accused,CO-ACCUSED,0.63,126
R166,252,Accused,253,Accused,CO-ACCUSED,0.81,127
R167,254,Accused,255,Accused,CO-ACCUSED,0.97,128
R168,254,Accused,256,Accused,CO-ACCUSED,0.75,128
R169,255,Accused,256,Accused,CO-ACCUSED,0.61,128
R170,257,Accused,258,Accused,CO-ACCUSED,0.8,129
R171,257,Accused,259,Accused,CO-ACCUSED,0.85,129
R172,258,Accused,259,Accused,CO-ACCUSED,0.87,129
R173,260,Accused,261,Accused,CO-ACCUSED,0.66,130
R174,260,Accused,262,Accused,CO-ACCUSED,0.75,130
R175,261,Accused,262,Accused,CO-ACCUSED,0.75,130
R176,263,Accused,264,Accused,CO-ACCUSED,0.69,131
R177,263,Accused,265,Accused,CO-ACCUSED,0.68,131
R178,264,Accused,265,Accused,CO-ACCUSED,0.77,131
R179,268,Accused,269,Accused,CO-ACCUSED,0.99,134
R180,270,Accused,271,Accused,CO-ACCUSED,0.92,135
R181,270,Accused,272,Accused,CO-ACCUSED,0.66,135
R182,271,Accused,272,Accused,CO-ACCUSED,0.61,135
R183,273,Accused,274,Accused,CO-ACCUSED,0.87,136
R184,276,Accused,277,Accused,CO-ACCUSED,0.92,138
R185,276,Accused,278,Accused,CO-ACCUSED,0.84,138
R186,277,Accused,278,Accused,CO-ACCUSED,0.65,138
R187,279,Accused,280,Accused,CO-ACCUSED,0.93,139
R188,279,Accused,281,Accused,CO-ACCUSED,0.65,139
R189,280,Accused,281,Accused,CO-ACCUSED,0.62,139
R190,282,Accused,283,Accused,CO-ACCUSED,0.61,140
R191,282,Accused,284,Accused,CO-ACCUSED,0.62,140
R192,283,Accused,284,Accused,CO-ACCUSED,0.65,140
R193,285,Accused,286,Accused,CO-ACCUSED,0.7,141
R194,289,Accused,290,Accused,CO-ACCUSED,0.82,144
R195,289,Accused,291,Accused,CO-ACCUSED,0.74,144
R196,290,Accused,291,Accused,CO-ACCUSED,0.66,144
R197,294,Accused,295,Accused,CO-ACCUSED,0.88,147
R198,294,Accused,296,Accused,CO-ACCUSED,0.96,147
R199,295,Accused,296,Accused,CO-ACCUSED,0.62,147
R200,297,Accused,298,Accused,CO-ACCUSED,0.94,148
R201,297,Accused,299,Accused,CO-ACCUSED,0.7,148
R202,298,Accused,299,Accused,CO-ACCUSED,0.76,148
R203,300,Accused,301,Accused,CO-ACCUSED,0.88,149
R204,302,Accused,303,Accused,CO-ACCUSED,0.67,150
R205,302,Accused,304,Accused,CO-ACCUSED,0.88,150
R206,303,Accused,304,Accused,CO-ACCUSED,0.62,150
R207,306,Accused,307,Accused,CO-ACCUSED,0.62,152
R208,308,Accused,309,Accused,CO-ACCUSED,0.96,153
R209,308,Accused,310,Accused,CO-ACCUSED,0.86,153
R210,309,Accused,310,Accused,CO-ACCUSED,0.73,153
R211,312,Accused,313,Accused,CO-ACCUSED,0.79,155
R212,314,Accused,315,Accused,CO-ACCUSED,0.7,156
R213,314,Accused,316,Accused,CO-ACCUSED,0.81,156
R214,315,Accused,316,Accused,CO-ACCUSED,0.9,156
R215,317,Accused,318,Accused,CO-ACCUSED,0.92,157
R216,317,Accused,319,Accused,CO-ACCUSED,0.72,157
R217,318,Accused,319,Accused,CO-ACCUSED,0.69,157
R218,320,Accused,321,Accused,CO-ACCUSED,0.82,158
R219,320,Accused,322,Accused,CO-ACCUSED,0.87,158
R220,321,Accused,322,Accused,CO-ACCUSED,0.96,158
R221,324,Accused,325,Accused,CO-ACCUSED,0.93,160
R222,327,Accused,328,Accused,CO-ACCUSED,0.82,162
R223,329,Accused,330,Accused,CO-ACCUSED,0.78,163
R224,329,Accused,331,Accused,CO-ACCUSED,0.99,163
R225,330,Accused,331,Accused,CO-ACCUSED,0.95,163
R226,333,Accused,334,Accused,CO-ACCUSED,0.64,165
R227,335,Accused,336,Accused,CO-ACCUSED,0.86,166
R228,338,Accused,339,Accused,CO-ACCUSED,0.7,168
R229,341,Accused,342,Accused,CO-ACCUSED,0.82,170
R230,343,Accused,344,Accused,CO-ACCUSED,0.74,171
R231,343,Accused,345,Accused,CO-ACCUSED,0.68,171
R232,344,Accused,345,Accused,CO-ACCUSED,0.88,171
R233,347,Accused,348,Accused,CO-ACCUSED,0.62,173
R234,349,Accused,350,Accused,CO-ACCUSED,0.78,174
R235,351,Accused,352,Accused,CO-ACCUSED,0.91,175
R236,354,Accused,355,Accused,CO-ACCUSED,0.66,177
R237,356,Accused,357,Accused,CO-ACCUSED,0.62,178
R238,356,Accused,358,Accused,CO-ACCUSED,0.98,178
R239,357,Accused,358,Accused,CO-ACCUSED,0.69,178
R240,360,Accused,361,Accused,CO-ACCUSED,0.72,180
R241,360,Accused,362,Accused,CO-ACCUSED,0.97,180
R242,361,Accused,362,Accused,CO-ACCUSED,0.68,180
R243,366,Accused,367,Accused,CO-ACCUSED,0.73,184
R244,366,Accused,368,Accused,CO-ACCUSED,0.83,184
R245,367,Accused,368,Accused,CO-ACCUSED,0.71,184
R246,369,Accused,370,Accused,CO-ACCUSED,0.7,185
R247,371,Accused,372,Accused,CO-ACCUSED,0.86,186
R248,371,Accused,373,Accused,CO-ACCUSED,0.87,186
R249,372,Accused,373,Accused,CO-ACCUSED,0.61,186
R250,375,Accused,376,Accused,CO-ACCUSED,0.63,188
R251,377,Accused,378,Accused,CO-ACCUSED,0.97,189
R252,379,Accused,380,Accused,CO-ACCUSED,0.81,190
R253,379,Accused,381,Accused,CO-ACCUSED,0.92,190
R254,380,Accused,381,Accused,CO-ACCUSED,0.66,190
R255,384,Accused,385,Accused,CO-ACCUSED,0.76,193
R256,384,Accused,386,Accused,CO-ACCUSED,0.68,193
R257,385,Accused,386,Accused,CO-ACCUSED,0.91,193
R258,389,Accused,390,Accused,CO-ACCUSED,0.93,196
R259,389,Accused,391,Accused,CO-ACCUSED,0.95,196
R260,390,Accused,391,Accused,CO-ACCUSED,0.92,196
R261,392,Accused,393,Accused,CO-ACCUSED,0.89,197
R262,395,Accused,396,Accused,CO-ACCUSED,0.81,199
R263,397,Accused,398,Accused,CO-ACCUSED,0.8,200
R264,397,Accused,399,Accused,CO-ACCUSED,0.74,200
R265,398,Accused,399,Accused,CO-ACCUSED,0.96,200
R266,400,Accused,401,Accused,CO-ACCUSED,0.82,201
R267,402,Accused,403,Accused,CO-ACCUSED,0.66,202
R268,402,Accused,404,Accused,CO-ACCUSED,0.93,202
R269,403,Accused,404,Accused,CO-ACCUSED,0.65,202
R270,405,Accused,406,Accused,CO-ACCUSED,0.67,203
R271,405,Accused,407,Accused,CO-ACCUSED,0.84,203
R272,406,Accused,407,Accused,CO-ACCUSED,0.71,203
R273,410,Accused,411,Accused,CO-ACCUSED,0.95,206
R274,412,Accused,413,Accused,CO-ACCUSED,0.84,207
R275,415,Accused,416,Accused,CO-ACCUSED,0.86,209
R276,418,Accused,419,Accused,CO-ACCUSED,0.64,211
R277,421,Accused,422,Accused,CO-ACCUSED,0.97,213
R278,421,Accused,423,Accused,CO-ACCUSED,0.85,213
R279,422,Accused,423,Accused,CO-ACCUSED,0.96,213
R280,424,Accused,425,Accused,CO-ACCUSED,0.66,214
R281,427,Accused,428,Accused,CO-ACCUSED,0.61,216
R282,427,Accused,429,Accused,CO-ACCUSED,0.99,216
R283,428,Accused,429,Accused,CO-ACCUSED,0.68,216
R284,430,Accused,431,Accused,CO-ACCUSED,0.86,217
R285,432,Accused,433,Accused,CO-ACCUSED,0.62,218
R286,435,Accused,436,Accused,CO-ACCUSED,0.85,220
R287,438,Accused,439,Accused,CO-ACCUSED,0.65,222
R288,440,Accused,441,Accused,CO-ACCUSED,1,223
R289,442,Accused,443,Accused,CO-ACCUSED,0.84,224
R290,444,Accused,445,Accused,CO-ACCUSED,0.86,225
R291,444,Accused,446,Accused,CO-ACCUSED,0.67,225
R292,445,Accused,446,Accused,CO-ACCUSED,0.78,225
R293,451,Accused,452,Accused,CO-ACCUSED,0.62,230
R294,451,Accused,453,Accused,CO-ACCUSED,0.63,230
R295,452,Accused,453,Accused,CO-ACCUSED,0.8,230
R296,454,Accused,455,Accused,CO-ACCUSED,0.62,231
R297,454,Accused,456,Accused,CO-ACCUSED,0.74,231
R298,455,Accused,456,Accused,CO-ACCUSED,0.9,231
R299,458,Accused,459,Accused,CO-ACCUSED,0.69,233
R300,458,Accused,460,Accused,CO-ACCUSED,0.83,233
R301,459,Accused,460,Accused,CO-ACCUSED,0.69,233
R302,462,Accused,463,Accused,CO-ACCUSED,0.75,235
R303,464,Accused,465,Accused,CO-ACCUSED,0.82,236
R304,466,Accused,467,Accused,CO-ACCUSED,0.9,237
R305,470,Accused,471,Accused,CO-ACCUSED,0.84,240
R306,472,Accused,473,Accused,CO-ACCUSED,0.82,241
R307,474,Accused,475,Accused,CO-ACCUSED,0.94,242
R308,476,Accused,477,Accused,CO-ACCUSED,0.9,243
R309,476,Accused,478,Accused,CO-ACCUSED,0.81,243
R310,477,Accused,478,Accused,CO-ACCUSED,0.85,243
R311,479,Accused,480,Accused,CO-ACCUSED,0.82,244
R312,483,Accused,484,Accused,CO-ACCUSED,0.64,247
R313,485,Accused,486,Accused,CO-ACCUSED,1,248
R314,488,Accused,489,Accused,CO-ACCUSED,0.92,250
R315,491,Accused,492,Accused,CO-ACCUSED,0.76,252
R316,491,Accused,493,Accused,CO-ACCUSED,0.8,252
R317,492,Accused,493,Accused,CO-ACCUSED,0.96,252
R318,494,Accused,495,Accused,CO-ACCUSED,0.66,253
R319,494,Accused,496,Accused,CO-ACCUSED,0.87,253
R320,495,Accused,496,Accused,CO-ACCUSED,0.83,253
R321,497,Accused,498,Accused,CO-ACCUSED,0.72,254
R322,499,Accused,500,Accused,CO-ACCUSED,0.73,255
R323,501,Accused,502,Accused,CO-ACCUSED,0.8,256
R324,501,Accused,503,Accused,CO-ACCUSED,0.64,256
R325,502,Accused,503,Accused,CO-ACCUSED,0.91,256
R326,504,Accused,505,Accused,CO-ACCUSED,0.77,257
R327,504,Accused,506,Accused,CO-ACCUSED,0.83,257
R328,505,Accused,506,Accused,CO-ACCUSED,0.73,257
R329,507,Accused,508,Accused,CO-ACCUSED,0.79,258
R330,509,Accused,510,Accused,CO-ACCUSED,0.91,259
R331,509,Accused,511,Accused,CO-ACCUSED,0.72,259
R332,510,Accused,511,Accused,CO-ACCUSED,0.88,259
R333,513,Accused,514,Accused,CO-ACCUSED,0.71,261
R334,515,Accused,516,Accused,CO-ACCUSED,0.89,262
R335,517,Accused,518,Accused,CO-ACCUSED,0.99,263
R336,519,Accused,520,Accused,CO-ACCUSED,0.62,264
R337,521,Accused,522,Accused,CO-ACCUSED,0.96,265
R338,524,Accused,525,Accused,CO-ACCUSED,0.93,267
R339,524,Accused,526,Accused,CO-ACCUSED,0.84,267
R340,525,Accused,526,Accused,CO-ACCUSED,0.88,267
R341,527,Accused,528,Accused,CO-ACCUSED,0.72,268
R342,530,Accused,531,Accused,CO-ACCUSED,0.71,270
R343,533,Accused,534,Accused,CO-ACCUSED,0.96,272
R344,535,Accused,536,Accused,CO-ACCUSED,0.81,273
R345,541,Accused,542,Accused,CO-ACCUSED,0.61,278
R346,541,Accused,543,Accused,CO-ACCUSED,0.86,278
R347,542,Accused,543,Accused,CO-ACCUSED,0.92,278
R348,546,Accused,547,Accused,CO-ACCUSED,0.73,281
R349,548,Accused,549,Accused,CO-ACCUSED,0.62,282
R350,550,Accused,551,Accused,CO-ACCUSED,0.95,283
