UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,Bengaluru Urban District HQ,2,,1,1,1,true
2,Koramangala PS,1,1,1,1,1,true
3,HSR Layout PS,1,1,1,1,1,true
4,Whitefield PS,1,1,1,1,1,true
5,Indiranagar PS,1,1,1,1,1,true
6,Rajajinagar PS,1,1,1,1,1,true
7,Mysuru District HQ,2,,1,1,2,true
8,Mysuru City PS,1,7,1,1,2,true
9,Nazarbad PS,1,7,1,1,2,true
10,Jayalakshmipuram PS,1,7,1,1,2,true
11,Tumakuru District HQ,2,,1,1,3,true
12,Tumakuru City PS,1,11,1,1,3,true
13,Tiptur PS,1,11,1,1,3,true
14,Belagavi District HQ,2,,1,1,4,true
15,Belagavi City PS,1,14,1,1,4,true
16,Gokak PS,1,14,1,1,4,true
17,Kalaburagi District HQ,2,,1,1,5,true
18,Kalaburagi City PS,1,17,1,1,5,true
19,Aland PS,1,17,1,1,5,true
20,Dakshina Kannada District HQ,2,,1,1,6,true
21,Mangaluru City PS,1,20,1,1,6,true
22,Ullal PS,1,20,1,1,6,true
23,Dharwad District HQ,2,,1,1,7,true
24,Hubballi City PS,1,23,1,1,7,true
25,Dharwad Rural PS,1,23,1,1,7,true
26,Ballari District HQ,2,,1,1,8,true
27,Ballari City PS,1,26,1,1,8,true
28,Sandur PS,1,26,1,1,8,true
29,Shivamogga District HQ,2,,1,1,9,true
30,Shivamogga City PS,1,29,1,1,9,true
31,Sagar PS,1,29,1,1,9,true
32,Hassan District HQ,2,,1,1,10,true
33,Hassan City PS,1,32,1,1,10,true
34,Belur PS,1,32,1,1,10,true
