ArrestSurrenderID,AccusedMasterID
1,1
2,5
3,6
3,7
4,8
5,9
5,10
5,11
6,12
6,13
6,14
7,15
7,16
7,17
8,19
9,24
9,25
9,26
10,29
10,30
11,42
11,43
12,46
12,47
12,48
13,49
14,50
14,51
14,52
15,55
15,56
16,57
17,58
18,59
18,60
19,61
19,62
20,68
20,69
21,74
21,75
21,76
22,80
22,81
23,85
23,86
24,87
25,88
25,89
25,90
26,94
26,95
27,99
27,100
28,101
29,109
29,110
29,111
30,112
30,113
31,115
31,116
31,117
32,118
33,119
34,122
34,123
35,124
35,125
35,126
36,127
37,128
37,129
37,130
38,131
38,132
38,133
39,134
39,135
39,136
40,137
40,138
41,139
41,140
42,141
43,142
43,143
44,145
45,146
45,147
46,148
47,149
47,150
48,154
48,155
49,157
49,158
49,159
50,163
51,164
51,165
51,166
52,167
53,168
53,169
54,170
54,171
54,172
55,175
55,176
55,177
56,181
56,182
56,183
57,184
57,185
58,186
58,187
59,193
60,198
60,199
61,200
61,201
61,202
62,203
62,204
63,205
63,206
64,207
65,208
66,209
66,210
66,211
67,213
67,214
67,215
68,216
68,217
68,218
69,222
69,223
69,224
70,228
70,229
71,233
71,234
72,236
72,237
72,238
73,239
73,240
73,241
74,242
74,243
74,244
75,250
75,251
76,252
76,253
77,254
77,255
77,256
78,257
78,258
78,259
79,267
80,270
80,271
80,272
81,275
82,276
82,277
82,278
83,279
83,280
83,281
84,282
84,283
84,284
85,285
85,286
86,287
87,289
87,290
87,291
88,292
89,293
90,297
90,298
90,299
91,300
91,301
92,305
93,312
93,313
94,320
94,321
94,322
95,323
96,326
97,327
97,328
98,333
98,334
99,335
99,336
100,337
101,338
101,339
102,341
102,342
103,346
104,356
104,357
104,358
105,359
106,360
106,361
106,362
107,363
108,364
109,366
109,367
109,368
110,369
110,370
111,374
112,377
112,378
113,382
114,383
115,384
115,385
115,386
116,387
117,389
117,390
117,391
118,394
119,397
119,398
119,399
120,400
120,401
121,409
122,410
122,411
123,412
123,413
124,415
124,416
125,418
125,419
126,426
127,427
127,428
127,429
128,430
128,431
129,432
129,433
130,434
131,435
131,436
132,438
132,439
133,440
133,441
134,442
134,443
135,444
135,445
135,446
136,447
137,448
138,450
139,451
139,452
139,453
140,454
140,455
140,456
141,458
141,459
141,460
142,462
142,463
143,466
143,467
144,468
145,469
146,474
146,475
147,476
147,477
147,478
148,479
148,480
149,482
150,483
150,484
151,485
151,486
152,487
153,491
153,492
153,493
154,497
154,498
155,501
155,502
155,503
156,504
156,505
156,506
157,507
157,508
158,509
158,510
158,511
159,513
159,514
160,517
160,518
161,523
162,524
162,525
162,526
163,529
164,530
164,531
165,535
165,536
166,537
167,539
168,540
169,541
169,542
169,543
170,544
171,548
171,549
172,550
172,551
172,552
173,555
173,556
173,557
174,563
175,567
176,569
177,570
177,571
177,572
178,576
178,577
178,578
179,579
179,580
180,583
180,584
180,585
181,586
181,587
181,588
182,589
182,590
182,591
183,592
183,593
183,594
184,595
185,599
185,600
185,601
186,604
187,605
188,606
188,607
188,608
189,609
189,610
190,611
190,612
191,613
191,614
192,615
192,616
192,617
193,618
193,619
193,620
194,624
194,625
194,626
195,629
195,630
195,631
196,632
197,636
198,637
198,638
198,639
199,652
199,653
199,654
200,657
200,658
200,659
201,660
201,661
202,662
203,665
204,669
204,670
205,671
205,672
205,673
206,674
207,675
208,678
208,679
209,680
209,681
209,682
210,683
211,688
211,689
211,690
212,691
212,692
213,694
213,695
213,696
214,697
215,700
216,701
216,702
216,703
217,704
217,705
217,706
218,707
218,708
218,709
219,710
219,711
219,712
220,713
220,714
220,715
221,716
221,717
222,718
222,719
223,720
223,721
224,722
224,723
224,724
225,725
225,726
225,727
226,728
226,729
226,730
227,731
227,732
228,735
228,736
228,737
229,738
229,739
229,740
230,741
230,742
231,744
231,745
231,746
232,747
232,748
232,749
233,750
234,751
234,752
234,753
235,754
236,755
237,756
238,760
238,761
239,767
239,768
239,769
240,771
241,772
241,773
242,774
243,776
243,777
243,778
244,782
244,783
245,784
246,785
246,786
246,787
247,788
247,789
247,790
248,791
248,792
248,793
249,795
250,796
250,797
250,798
251,799
251,800
251,801
252,802
252,803
252,804
253,805
253,806
253,807
254,810
255,811
255,812
255,813
256,814
256,815
256,816
257,817
257,818
258,822
258,823
258,824
259,825
259,826
259,827
260,828
260,829
261,830
262,831
263,832
263,833
263,834
264,835
264,836
265,837
265,838
266,839
266,840
266,841
267,842
267,843
268,847
268,848
269,849
269,850
270,859
270,860
270,861
271,862
272,863
272,864
273,868
273,869
273,870
274,871
275,872
275,873
276,874
277,875
277,876
278,879
278,880
279,881
279,882
279,883
280,893
280,894
280,895
281,896
282,899
283,900
283,901
283,902
284,908
284,909
284,910
285,911
286,912
287,913
287,914
288,920
289,921
289,922
289,923
290,924
290,925
290,926
291,929
291,930
291,931
292,932
292,933
293,934
293,935
293,936
294,937
294,938
295,945
296,946
296,947
296,948
297,950
298,951
299,952
300,953
300,954
301,956
301,957
301,958
302,959
302,960
303,961
303,962
304,966
304,967
305,968
306,969
307,970
307,971
307,972
308,973
308,974
308,975
309,976
310,980
311,981
312,983
313,984
313,985
313,986
314,990
314,991
315,992
315,993
315,994
316,995
316,996
316,997
317,998
317,999
318,1000
318,1001
318,1002
319,1003
319,1004
319,1005
